"run","time","lastAction","duration","fractionTxRate","fractionRxGoodput","txPackets","rxPackets","txBytes","rxBytes","lostPackets","oooPackets","lossRate","fractionLossRate","retransmissionRate","nackSuccessRate","rtt","interarrivalJitter","fractionAvInterarrivalDelay","timeCurrentReceiverReport","timeCurrentTransportFeedback"
7,1.01,-0.281244,1,3.85003,0.161075,401,17,481700,20160,173,0,0.910526,0.910526,0,-nan,230.886,5.60228,2.50027,1.00127,0.601275
7,2.01,-0.897971,2,0.889738,0.71152,504,96,596600,109100,376,0,0.79661,0.719858,0.0833333,0.0133333,206.567,2.12419,14.0854,2.00127,1.70127
7,3.01,-0.271026,3,3.89907,0,901,96,1080139,109100,376,0,0.79661,1,0.0833333,0.0133333,430.747,2.12419,1000,3.00127,1.70127
7,4.01,-0.964028,4,0.572668,0.00572,1004,97,1155797,109815,856,0,0.898216,0.997921,0.0824742,0.0133333,398.27,6.91323,1888.75,4.00127,3.60127
7,5.01,-0.964028,5,0.572668,0,1104,97,1227297,109815,856,0,0.898216,1,0.0824742,0.0133333,598.486,6.91323,1000,5.00127,3.60127
7,6.01,-0.964028,6,0.572668,0.16588,1204,126,1298797,130550,1046,0,0.892491,0.86758,0.0634921,0.0133333,530.597,8.26101,72.8017,6.00127,5.70127
7,7.01,-0.964028,7,0.572668,0.12012,1304,147,1370297,145565,1085,0,0.880682,0.65,0.0544218,0.0129032,473.595,11.0006,28.6429,7.00127,6.30127
7,8.01,-0.824253,8,1.24359,0.23824,1503,186,1524858,175345,1273,0,0.872515,0.828194,0.0430108,0.0097561,424.219,6.0917,38.4616,8.00127,7.80127
7,9.01,-0.796066,9,1.37888,0,1703,186,1696989,175345,1273,0,0.872515,1,0.0430108,0.0097561,621.192,6.0917,1000,9.00127,7.80127
7,10.01,-0.964028,10,0.572668,0.13156,1804,209,1769497,191790,1584,0,0.883436,0.931548,0.0382775,0.0097561,551.002,8.37711,95.4564,10.0013,10.0013
7,11.01,-0.964028,11,0.572668,0,1904,209,1840997,191790,1586,0,0.883565,1,0.0382775,0.00973236,732.127,8.37711,1000,11.0013,10.0013
7,12.01,-0.964028,12,0.572668,0.1716,2004,239,1912497,213240,1753,0,0.88002,0.847716,0.0334728,0.00947867,644.891,2.93158,63.4333,12.0013,11.9013
7,13.01,-0.964028,13,0.572668,0.01716,2104,242,1983997,215385,1797,0,0.881314,0.93617,0.0330579,0.00785083,582.959,6.18386,179.5,13.0013,12.5013
7,14.01,-0.964028,14,0.572668,0.18876,2204,275,2055497,238980,1908,0,0.874027,0.78,0.0290909,0.00775946,517.083,8.76573,45.4545,14.0013,14.0013
7,15.01,0.964028,15,9.82733,3.01162,3195,580,3272328,615432,2231,0,0.793668,0.614899,0.0137931,0.00775946,470.308,1.5151,3.0115,15.0013,14.9013
7,16.01,-0.964028,16,0.572668,0.00572,3304,581,3355397,616147,2401,0,0.805164,0.996815,0.0137694,0.00733272,429.949,2.66994,1139.99,16.0013,16.0013
7,17.01,-0.964028,17,0.572668,0,3404,581,3426897,616147,2714,0,0.823672,1,0.0137694,0.00733272,626.205,2.66994,1000,17.0013,16.0013
7,18.01,-0.964028,18,0.572668,0.12584,3504,603,3498397,631877,2870,0,0.826375,0.884211,0.013267,0.00733272,557.683,11.5453,86.3636,18.0013,17.9013
7,19.01,-0.964028,19,0.572668,0.23452,3604,644,3569897,661192,2908,0,0.818694,0.649573,0.0124224,0.00733272,493.595,7.17763,26.9024,19.0013,19.0013
7,20.01,-0.906769,20,0.847511,0.347352,3704,685,3675453,704611,2988,0,0.813504,0.59,0.0116788,0.00733272,437.545,4.8489,24.3903,20.0013,20.0013
7,21.01,-0.853141,21,1.10492,0.122176,3903,708,3813231,719883,3111,0,0.814611,0.870056,0.0112994,0.00732601,394.722,5.2849,39.1957,21.0013,20.9013
7,22.01,0.964028,22,9.82733,4.60542,4895,1176,5030728,1295560,3699,0,0.758769,0.53012,0.00680272,0.00603774,349.659,0.363407,2.35897,22.0013,22.0013
7,23.01,-0.808021,23,1.3215,1.16654,5103,1338,5206461,1441378,3759,0,0.737493,0.276786,0.00597907,0.00587803,309.462,1.23347,6.13891,23.0013,23.0013
7,24.01,-0.886153,24,0.946467,0.389792,5204,1381,5325229,1490102,3821,0,0.734525,0.582524,0.0057929,0.00562984,274.105,2.49436,23.2907,24.0013,24.0013
7,25.01,-0.607356,25,2.28469,0.009464,5502,1382,5609057,1491285,3821,0,0.734384,0,0.00578871,0.00561404,241.147,2.52596,7,25.0013,24.1013
7,26.01,-0.774298,26,1.48337,0,5703,1382,5795458,1491285,3821,0,0.734384,1,0.00578871,0.00561404,461.003,2.52596,1000,26.0013,24.1013
7,27.01,-0.964028,27,0.572668,0,5804,1382,5868097,1491285,3821,0,0.734384,1,0.00578871,0.00561404,653.378,2.52596,1000,27.0013,24.1013
